,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
284,富沢４丁目,2,4,2,7,4,2,5,4,3,8,4,4,1,3,5,4,7,4,3,5,2,6,3,8,2,5,5,3,7,4,3,4,4,3,6,8,4,7,6,9,5,4,5,11,9,14,10,6,15,9,7,7,5,9,3,3,1,2,2,3,4,3,6,3,4,3,2,3,5,5,4,1,3,6,1,0,2,1,4,0,1,2,3,2,1,2,1,1,1,0,2,0,1,0,0,0,0,0,1,0,0
285,富沢南１丁目,18,6,10,10,12,9,10,9,11,11,5,5,6,7,8,8,6,6,4,14,6,14,15,11,9,19,10,8,13,19,16,15,16,8,14,12,19,16,23,17,16,12,8,22,20,22,20,21,22,20,19,14,15,12,8,12,13,7,8,3,3,2,5,3,14,5,10,3,5,8,5,7,1,2,2,1,6,4,10,4,4,5,3,3,4,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0
286,富沢南２丁目,12,9,6,12,12,14,7,14,7,10,7,10,14,7,11,13,10,12,15,13,8,10,6,12,17,7,18,14,9,20,13,19,7,12,15,16,18,9,19,23,17,10,16,15,22,23,26,23,19,20,16,16,15,10,15,15,9,14,8,5,6,4,5,6,4,3,2,1,8,0,4,4,2,5,5,4,2,3,1,3,2,2,5,1,3,1,1,4,1,0,1,0,0,1,2,0,0,0,0,0,0
299,富田,12,8,20,13,14,20,6,14,10,10,13,7,10,6,3,7,5,7,7,7,3,8,2,11,4,10,5,9,13,7,13,13,20,14,20,13,17,12,6,18,9,13,18,14,11,10,15,15,11,10,11,9,10,10,10,10,6,6,6,6,6,8,7,10,8,13,14,11,12,10,15,13,11,8,7,4,9,12,7,12,4,9,9,7,8,7,4,4,9,2,3,2,5,1,4,2,3,1,4,1,1
300,土手内１丁目,3,1,2,2,3,2,2,5,3,3,1,4,5,2,6,9,8,7,2,7,7,6,3,3,3,5,4,2,2,4,4,7,4,6,5,6,5,7,3,5,4,4,3,11,11,9,9,6,7,5,5,7,7,17,5,8,11,9,4,3,5,7,4,9,4,6,8,5,7,5,13,12,10,6,3,1,4,4,6,2,3,2,2,2,2,3,1,0,1,1,0,2,2,1,0,0,0,1,0,1,0
301,土手内２丁目,2,0,1,2,2,1,3,1,4,0,3,4,2,3,1,3,0,0,1,1,1,4,0,0,0,3,3,1,0,0,0,2,2,2,1,3,0,3,1,6,2,2,6,4,4,0,2,1,0,5,1,2,2,2,1,4,2,0,1,2,3,1,3,3,3,1,1,2,1,2,4,2,0,2,2,0,2,0,0,1,0,3,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
302,土手内３丁目,1,3,2,2,2,5,3,4,1,4,3,4,2,2,6,2,2,2,6,2,0,2,0,2,1,2,0,0,1,4,2,2,5,3,3,3,4,3,5,8,2,6,1,3,5,3,4,6,2,5,2,6,5,6,3,3,5,3,1,4,3,5,5,1,3,3,7,2,2,7,9,8,5,12,3,5,7,7,7,8,6,4,8,7,2,2,5,4,2,2,3,3,0,6,1,2,0,0,0,0,0
303,中田１丁目,3,4,3,4,2,5,3,4,3,5,3,1,3,3,2,4,2,9,4,2,9,5,4,7,10,4,7,11,7,6,9,12,8,11,10,7,8,9,6,9,6,7,6,7,2,5,4,11,10,11,9,3,3,7,11,11,6,4,4,8,11,8,3,8,9,7,7,5,8,9,17,7,10,4,5,2,6,2,3,6,4,5,7,7,2,3,6,4,0,2,1,2,1,6,0,1,0,1,0,0,0
304,中田２丁目,7,12,5,8,7,9,6,4,5,9,4,10,6,6,4,8,7,3,12,4,5,11,13,8,8,6,7,9,10,15,9,14,7,10,7,14,6,5,12,13,16,10,4,11,9,10,13,15,17,10,10,8,7,10,0,13,7,5,8,8,7,9,9,5,11,2,7,8,2,9,14,9,8,7,10,4,7,8,10,4,7,4,6,5,8,6,7,2,4,2,1,6,1,0,0,1,0,1,0,1,0
305,中田３丁目,5,3,1,5,4,1,3,4,1,4,0,4,2,0,2,1,1,2,4,4,3,7,5,7,5,8,9,7,8,11,5,11,5,9,8,5,7,3,6,5,4,3,6,7,3,7,8,6,1,4,3,7,3,2,7,5,4,5,5,1,2,2,2,10,4,7,3,4,2,3,3,2,3,4,0,2,7,5,1,4,1,1,2,5,2,2,3,3,1,3,1,1,2,0,2,0,2,0,0,0,0
306,中田４丁目,2,1,0,0,1,1,0,1,2,4,1,2,2,4,3,3,7,1,3,6,5,4,3,1,5,3,0,3,3,2,1,1,5,2,3,4,2,4,2,6,4,0,4,10,3,2,7,5,4,7,5,7,3,2,2,4,3,3,3,1,6,4,3,7,3,4,2,4,3,6,8,2,7,2,2,0,2,3,4,4,2,2,2,4,3,4,3,3,2,1,2,4,2,3,0,7,1,0,1,0,0
307,中田５丁目,8,1,4,3,4,1,5,2,2,2,6,6,7,6,8,8,8,3,5,3,5,7,7,4,4,5,5,3,11,5,6,5,2,9,4,3,0,5,8,6,10,8,9,3,11,16,8,14,14,8,7,8,9,6,4,2,7,7,4,4,2,6,4,3,1,3,4,2,2,5,3,5,8,1,2,1,1,2,3,5,1,0,3,4,2,0,2,1,2,1,3,3,1,0,0,2,2,2,0,0,1
308,中田６丁目,3,5,3,3,6,2,5,1,3,2,4,6,10,4,8,7,10,9,6,6,2,8,8,4,5,10,1,5,5,5,1,2,4,3,3,6,5,4,6,10,9,7,15,7,7,9,10,13,16,10,14,8,6,11,5,8,10,5,8,2,9,7,5,3,6,6,8,3,2,4,5,5,6,2,6,1,6,3,2,3,3,3,6,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
309,中田７丁目,3,8,15,9,12,5,7,7,8,5,6,12,4,3,5,3,4,3,2,9,13,8,6,6,11,8,10,9,8,14,9,17,10,16,19,9,11,10,9,9,6,8,10,17,13,8,10,11,14,13,15,11,9,9,6,9,10,5,11,9,8,11,8,6,12,9,4,11,14,3,6,8,8,9,5,10,8,3,4,6,7,4,5,7,9,8,4,8,9,4,4,5,3,5,1,1,1,3,2,0,0
327,中田町,14,23,22,27,24,24,22,30,21,30,28,25,23,25,17,21,29,23,36,27,22,22,17,11,25,18,30,17,31,15,28,19,26,30,31,30,34,42,32,38,31,41,51,35,42,50,48,40,54,37,36,31,28,26,27,34,18,24,30,21,28,29,21,23,28,27,39,31,38,64,50,51,58,47,22,31,27,29,34,25,21,15,24,15,19,16,11,15,7,12,11,8,7,7,0,1,0,2,1,0,0
329,長町,0,0,0,0,1,0,0,0,0,0,1,3,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,2,4,2,4,1,2,2,2,1,2,0,4,1,2,2,2,1,2,3,1,1,1,4,1,0,2,0,2,2,2,1,3,3,3,4,4,11,6,4,4,2,2,6,4,6,1,3,4,4,1,3,1,1,1,1,3,2,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
330,長町１丁目,4,7,5,5,13,10,9,10,4,5,8,9,4,10,9,3,14,5,7,11,8,13,18,18,22,19,11,18,25,20,17,18,16,17,13,10,16,16,13,16,23,27,18,17,21,29,23,19,18,18,17,19,24,14,18,14,15,16,18,24,10,10,9,17,17,8,15,13,13,17,18,14,13,11,1,9,10,12,8,7,11,6,11,12,9,17,5,14,4,11,6,5,5,3,3,2,1,2,2,2,0
331,長町２丁目,9,4,7,10,10,9,7,14,9,16,15,8,14,9,11,11,10,17,13,14,12,16,13,17,24,32,22,22,19,10,18,13,17,16,18,15,18,14,18,15,15,23,28,24,26,16,26,15,22,21,14,25,18,13,13,18,17,12,16,15,17,15,16,10,16,9,14,8,13,16,17,12,9,14,9,8,10,10,9,6,6,5,9,5,5,8,5,5,10,5,4,7,5,5,2,6,1,1,2,0,0
332,長町３丁目,6,1,6,1,4,3,4,8,2,5,5,7,10,3,3,3,4,3,9,4,6,9,3,5,10,12,8,10,9,7,5,6,13,9,11,12,10,7,8,8,9,5,15,13,9,7,17,11,17,10,12,14,17,12,15,18,9,9,18,16,8,17,12,18,14,15,7,12,12,15,10,16,14,11,7,13,9,5,12,7,11,7,6,7,9,2,6,5,2,5,2,4,3,0,3,1,2,2,0,2,2
333,長町４丁目,3,6,6,5,4,4,7,6,5,8,6,8,9,3,7,8,7,4,3,2,6,3,6,6,13,13,9,12,11,13,13,13,14,7,6,13,6,9,8,9,9,11,10,11,15,15,12,10,9,16,16,9,11,10,7,15,5,10,10,8,8,5,6,9,7,7,8,7,4,9,6,7,8,6,3,4,3,6,3,5,5,1,5,4,7,5,3,3,4,10,8,2,4,2,2,1,0,2,1,0,0
334,長町５丁目,11,13,6,10,5,8,7,9,10,5,5,12,6,11,3,9,8,12,12,11,20,20,16,23,16,20,23,16,15,20,21,24,19,27,16,15,19,17,18,17,15,26,21,19,23,16,14,20,22,15,34,19,29,28,33,31,20,24,19,21,27,19,15,22,16,18,25,19,14,28,21,19,19,12,14,17,21,9,8,5,6,5,11,15,6,13,8,12,5,10,7,4,3,6,1,1,1,0,1,0,0
335,長町６丁目,10,15,6,12,12,10,9,9,11,7,4,14,8,6,8,8,7,8,9,2,12,13,14,14,23,17,19,16,19,17,12,25,17,17,18,15,18,22,20,11,18,30,23,16,24,27,27,18,16,25,15,19,20,13,9,9,16,14,21,16,15,12,20,21,13,19,14,16,18,14,16,5,10,3,2,10,3,6,8,7,8,13,4,6,6,10,5,3,7,6,4,3,3,3,2,2,0,1,1,0,0
336,長町７丁目,7,10,4,10,9,11,6,6,10,6,5,15,10,9,10,8,9,6,11,7,16,13,10,12,14,11,10,12,8,14,13,10,16,19,15,17,21,18,19,16,14,20,19,18,20,25,22,15,22,11,10,17,14,14,18,14,11,12,10,10,14,7,13,11,11,6,12,18,2,9,5,8,10,8,4,5,9,13,4,8,4,6,3,7,8,4,4,2,6,5,4,5,1,0,1,2,2,0,0,0,1
337,長町８丁目,11,8,11,4,10,5,9,13,12,9,14,10,11,14,12,10,24,13,11,14,19,9,13,22,14,28,16,14,16,17,11,15,10,10,22,11,15,18,20,23,15,20,23,19,21,27,23,26,37,26,23,17,27,21,21,24,23,28,22,21,14,17,18,14,10,9,17,12,9,9,14,9,9,4,8,11,4,8,7,9,4,12,6,4,8,8,3,1,9,4,4,7,6,4,5,3,0,0,0,1,0
338,長町南１丁目,5,5,3,1,4,3,4,3,3,5,2,3,2,5,3,5,1,7,7,4,5,11,9,14,9,16,14,10,14,9,11,10,7,5,10,12,10,12,5,9,9,13,11,11,6,8,10,10,7,8,7,12,5,14,8,8,6,19,10,8,14,9,4,9,5,3,7,7,9,13,7,7,7,4,5,7,4,10,4,8,7,3,3,4,5,6,1,7,7,8,4,5,4,3,2,2,0,0,0,0,0
339,長町南２丁目,9,15,6,12,12,5,5,6,5,4,10,7,8,6,3,13,10,5,8,13,18,11,6,8,7,13,9,12,12,13,15,19,13,17,11,11,16,13,16,11,17,14,19,19,18,22,9,16,23,15,14,19,17,16,8,8,14,9,8,13,8,12,6,8,5,8,4,3,5,9,6,5,9,9,2,5,5,5,5,1,1,2,2,5,2,1,5,3,2,2,3,3,2,0,1,0,0,0,0,0,0
340,長町南３丁目,13,8,13,5,8,7,6,11,8,4,9,18,7,9,8,9,17,7,9,14,17,11,13,11,16,17,18,16,23,22,14,12,19,21,22,16,26,21,27,20,21,11,17,16,18,15,29,24,20,18,24,20,22,22,14,15,13,18,23,19,12,14,10,14,13,18,11,13,12,14,14,15,11,9,7,12,8,12,7,13,9,4,8,7,9,5,7,9,5,5,6,5,4,3,2,1,3,2,1,0,0
341,長町南４丁目,15,14,7,8,7,6,11,14,13,14,15,11,15,8,15,13,11,10,16,18,8,17,15,14,15,15,10,19,21,18,17,12,22,14,19,26,17,18,21,21,17,15,32,20,19,30,40,33,36,24,23,26,34,13,24,25,15,14,17,21,15,13,18,14,9,9,8,9,11,5,7,14,11,7,8,10,12,7,11,6,6,6,8,10,8,5,8,6,3,7,4,4,1,1,2,1,1,1,1,0,1
342,長嶺,2,1,2,3,2,0,2,0,0,2,2,1,4,2,2,1,4,0,3,3,3,4,1,0,0,4,3,0,1,1,1,4,3,4,2,4,2,3,1,4,3,3,2,3,5,3,3,8,3,3,5,1,1,3,3,1,4,5,4,7,3,5,3,0,2,3,1,5,1,2,5,4,6,2,5,2,6,4,2,2,3,5,3,4,3,4,4,2,3,2,3,4,1,0,1,2,0,0,0,0,0
343,西多賀１丁目,4,6,6,2,6,3,9,5,4,5,4,6,3,5,8,4,6,8,14,7,4,4,13,11,8,4,2,6,6,8,4,8,8,5,11,13,7,12,5,9,6,9,16,12,11,7,11,14,12,10,6,8,4,6,7,6,11,3,4,11,5,7,6,6,7,9,6,5,5,6,9,14,11,7,3,8,4,7,8,8,7,11,8,9,7,11,7,4,7,4,3,3,3,1,3,2,0,2,1,1,0
344,西多賀２丁目,3,1,4,3,3,7,5,5,6,7,10,10,5,7,8,6,6,4,7,3,8,5,1,11,8,3,1,3,7,5,5,7,12,11,4,5,7,6,12,12,11,12,7,10,15,8,9,11,16,12,7,8,10,5,8,6,3,4,4,6,9,10,4,9,5,4,6,12,7,9,9,8,8,8,3,4,5,5,6,5,3,4,3,4,4,3,3,3,1,1,3,1,1,2,1,1,0,1,0,1,0
345,西多賀３丁目,1,6,5,3,2,4,7,4,6,3,4,5,2,6,5,2,6,4,5,2,4,5,4,7,7,5,7,3,5,2,3,6,7,6,6,5,11,11,8,6,12,11,4,12,4,12,8,6,6,12,6,7,11,7,5,8,9,9,14,2,6,11,8,9,9,7,11,12,4,8,9,10,8,3,5,8,7,5,6,6,10,6,2,6,4,2,4,7,3,5,6,2,4,2,3,0,1,0,0,1,1
346,西多賀４丁目,5,3,3,7,3,3,4,3,3,3,2,3,8,6,0,5,6,7,4,4,5,6,14,7,3,7,6,7,8,6,6,4,5,9,8,3,7,6,7,7,5,9,15,17,12,18,8,14,10,13,14,6,10,11,12,8,9,10,12,8,6,8,9,8,8,10,6,17,12,10,17,11,13,16,5,7,10,14,10,5,7,7,9,7,8,7,3,4,8,6,2,4,5,4,3,3,2,2,0,2,0
347,西多賀５丁目,3,2,2,2,2,6,5,4,1,5,3,2,5,4,5,3,7,2,1,5,6,1,2,4,6,3,4,6,1,1,9,7,4,5,4,4,4,5,9,8,4,6,5,4,6,1,8,3,6,2,5,5,3,4,8,4,4,9,3,5,0,4,3,6,5,4,5,6,5,7,6,6,3,3,3,1,8,3,4,6,4,5,7,2,5,2,9,2,3,6,0,1,0,3,1,2,0,0,0,0,0
348,西中田１丁目,5,1,5,6,3,3,7,4,1,3,1,4,8,7,8,7,13,6,6,8,5,11,7,7,4,4,3,4,2,4,4,6,8,3,8,8,3,9,6,6,8,7,14,17,15,12,14,14,21,13,11,9,4,8,9,7,12,12,5,10,7,7,10,2,5,6,6,4,8,10,5,7,6,5,2,4,5,4,5,2,2,3,5,0,2,1,1,2,1,1,0,3,1,1,0,0,0,0,0,0,0
349,西中田２丁目,4,3,2,5,1,3,4,1,1,4,5,2,0,6,3,2,9,3,9,7,6,7,7,5,10,2,4,0,6,5,4,11,2,9,4,3,4,9,3,4,7,6,9,2,3,11,8,5,4,6,10,8,10,6,10,4,5,5,7,4,4,4,4,4,5,9,3,8,3,12,6,8,8,6,4,6,7,4,5,4,5,2,4,5,2,3,1,2,3,2,3,3,3,2,2,0,0,0,0,0,0
350,西中田３丁目,8,3,9,8,8,1,7,6,4,4,7,4,6,7,9,5,11,3,16,10,13,13,11,15,12,8,8,14,14,9,14,13,10,14,16,15,10,14,13,11,7,14,20,9,13,15,10,21,20,10,10,11,23,15,17,10,14,13,10,11,12,10,7,3,14,11,13,8,15,7,12,12,11,3,4,5,4,6,8,6,5,6,5,7,6,5,3,3,1,1,2,1,0,2,1,1,0,1,1,0,0
351,西中田４丁目,4,3,3,3,3,1,5,5,8,9,1,2,5,4,1,3,3,4,6,12,8,1,5,3,8,4,2,5,8,10,6,10,7,7,5,7,13,10,7,11,13,5,4,6,9,16,5,12,11,8,8,11,6,3,6,5,5,10,12,7,4,3,6,6,10,8,9,7,4,10,3,9,12,4,3,3,3,6,4,2,2,0,1,5,3,6,3,2,2,0,2,1,0,2,1,0,0,0,0,0,0
352,西中田５丁目,7,10,10,13,7,12,9,6,10,9,17,6,8,9,10,15,15,12,13,11,11,20,19,19,13,16,14,19,25,18,18,13,19,15,11,14,18,11,12,19,15,15,17,20,13,15,19,21,30,22,27,15,21,17,16,20,18,14,14,18,15,17,10,10,20,8,10,12,11,18,10,19,11,8,11,8,4,13,7,5,0,4,11,3,7,6,5,4,3,5,3,0,2,1,0,1,1,0,0,0,1
353,西中田６丁目,5,12,12,12,14,11,11,11,10,13,10,15,14,16,20,12,13,13,16,21,16,26,19,16,20,23,15,19,15,18,23,26,12,21,19,20,15,13,20,21,19,14,21,22,26,24,32,32,27,31,27,36,35,27,26,31,19,27,12,22,21,21,22,20,20,25,24,26,29,29,37,27,30,17,16,23,24,16,14,15,12,8,13,13,11,11,7,9,9,7,2,4,1,1,1,1,0,1,1,1,0
354,西中田７丁目,13,9,14,10,10,10,8,11,12,17,13,14,17,16,16,14,17,18,8,14,8,11,4,13,11,14,15,12,22,14,8,18,13,7,10,11,25,19,20,23,11,29,20,20,24,19,29,27,26,29,18,29,26,26,16,13,12,17,17,12,20,20,10,17,15,17,9,19,23,21,13,15,18,14,10,8,8,10,10,9,6,3,8,5,6,2,4,3,2,1,2,1,2,0,1,2,0,0,0,0,0
355,西の平１丁目,4,3,6,5,5,9,8,5,5,8,12,9,7,6,6,9,7,6,2,5,6,6,5,3,8,6,5,8,7,9,8,4,14,9,9,11,12,10,11,11,8,11,12,11,12,17,12,9,10,10,12,5,9,10,8,18,12,8,7,3,8,9,10,9,9,15,15,12,18,18,17,16,14,11,7,9,13,18,10,9,9,12,12,5,7,4,6,3,7,9,4,3,3,4,3,3,0,0,2,1,1
356,西の平２丁目,3,5,1,7,8,8,7,8,9,7,3,1,7,5,4,5,5,4,4,5,7,3,10,4,8,5,7,11,6,10,17,4,12,14,10,8,11,6,8,10,7,4,9,10,9,6,7,7,6,10,9,10,9,9,13,11,10,7,11,16,11,5,10,16,10,7,6,15,12,17,9,14,15,4,4,9,10,7,9,6,7,10,5,9,6,2,5,5,5,3,6,4,3,4,6,0,3,0,1,0,0
357,日本平,7,4,10,6,4,7,9,11,9,8,7,11,2,6,8,3,7,10,5,10,4,6,5,4,10,7,5,8,12,4,6,7,5,12,12,10,8,13,13,12,7,13,7,9,17,14,15,14,16,11,11,18,23,6,15,8,15,11,8,6,10,9,9,8,9,15,19,15,18,21,18,35,28,20,12,19,18,28,24,17,26,17,20,20,10,11,9,9,9,5,3,6,6,1,0,1,2,0,0,0,2
358,根岸町,1,4,5,3,5,2,1,1,1,5,1,0,1,1,2,0,1,0,1,3,6,1,1,4,6,8,3,4,4,4,4,3,3,4,5,7,10,4,6,4,1,5,6,1,1,4,0,4,2,1,3,3,2,3,3,1,0,7,2,4,2,4,7,3,3,4,2,7,2,6,7,6,3,2,2,3,3,1,0,2,2,0,3,1,1,1,1,2,1,4,1,2,2,3,0,0,1,0,1,0,1
359,萩ケ丘,2,0,3,3,3,1,1,4,2,3,0,5,0,2,0,4,2,1,3,5,4,6,6,4,6,4,4,3,5,0,5,6,9,7,3,6,5,5,5,11,5,5,5,1,1,4,12,4,5,6,3,3,2,7,8,1,7,2,6,5,7,2,10,3,7,2,4,9,10,4,7,4,5,1,2,6,8,8,5,5,3,4,3,7,4,4,5,1,4,3,4,2,3,1,4,2,0,1,1,0,1
360,羽黒台,3,4,2,6,4,7,8,7,3,3,7,5,4,7,4,6,5,1,5,9,8,10,5,10,3,5,4,2,6,4,4,6,8,8,9,9,8,10,14,11,14,11,12,3,7,11,5,8,6,6,11,6,8,6,8,9,4,8,9,10,11,16,7,6,6,11,11,13,9,20,19,18,12,10,10,9,24,11,18,13,14,12,7,12,6,7,8,12,4,5,10,3,2,3,2,2,2,1,1,1,1
361,旗立２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,2,3,0,1,0,3,2,1,1,0,0,2,6,2,3,2,3,2,2,0,3,0,1,1,2,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,旗立３丁目,3,0,3,0,1,3,1,2,2,1,2,3,0,0,3,0,0,0,2,0,1,1,1,1,1,2,0,2,0,2,0,1,4,0,3,1,1,5,0,4,4,0,4,1,2,2,1,1,0,3,0,0,1,3,1,1,1,0,4,3,2,3,2,3,3,3,2,1,7,3,3,8,6,2,4,4,3,3,4,5,2,1,1,0,1,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0
363,八本松１丁目,5,5,6,3,6,6,7,4,5,11,6,7,4,4,3,7,9,6,3,8,10,7,9,8,11,15,15,12,11,7,10,5,4,13,9,9,15,11,14,8,10,10,21,14,21,18,11,13,9,13,19,15,9,15,17,7,13,6,13,5,11,13,17,13,18,17,12,13,16,17,25,18,25,20,12,12,15,12,18,13,15,11,9,11,14,6,11,6,11,11,9,6,0,5,3,3,2,2,0,1,1
364,八本松２丁目,9,10,10,4,3,7,4,9,9,5,13,12,7,13,8,10,8,12,7,10,13,8,4,8,7,7,9,10,6,7,7,2,9,6,8,7,11,12,6,12,10,17,13,14,17,20,12,25,18,22,13,22,11,18,17,9,15,11,6,14,6,6,15,7,8,4,3,11,6,7,7,3,7,4,7,7,8,8,8,5,6,6,3,2,3,1,3,5,4,4,2,3,0,2,0,1,2,0,0,1,0
365,東大野田,12,4,6,9,5,4,9,9,1,4,4,4,0,8,3,10,4,8,7,6,3,3,12,7,8,9,10,8,12,9,18,14,6,12,10,21,14,10,7,11,9,8,5,15,15,9,13,7,8,12,7,10,10,7,3,8,9,3,7,8,4,4,7,5,3,9,5,6,6,3,6,9,11,7,3,5,6,3,4,8,1,4,6,5,4,7,1,0,3,7,3,5,3,1,2,1,2,3,0,0,1
366,東郡山１丁目,4,1,0,6,3,3,2,4,3,3,2,2,1,1,1,0,2,2,2,5,1,2,3,2,1,4,5,1,5,5,1,0,3,2,6,8,3,6,1,8,2,2,4,6,2,2,3,3,2,0,2,6,1,2,7,4,5,4,4,5,2,8,6,0,4,2,1,4,3,2,1,5,5,2,3,2,4,3,3,2,4,1,2,4,4,6,4,5,3,7,1,1,1,1,0,0,0,0,2,1,0
367,東郡山２丁目,11,17,6,13,18,3,5,13,9,5,7,7,7,8,4,4,8,14,6,9,12,6,8,13,6,9,4,9,9,10,14,15,12,12,15,14,16,9,19,12,19,9,25,13,9,12,9,13,9,12,18,6,12,11,19,10,14,11,14,11,8,10,9,8,15,16,12,17,15,6,16,10,15,6,7,11,13,22,13,7,15,7,10,11,11,8,7,11,10,5,9,2,3,3,2,2,3,1,1,1,0
368,東中田１丁目,3,5,5,4,6,6,9,7,10,4,5,7,11,10,7,5,6,5,8,10,8,6,8,6,3,3,9,4,7,9,7,13,5,5,5,3,5,7,10,6,9,7,12,8,12,11,6,8,15,13,10,6,5,7,8,4,7,4,10,6,1,6,5,7,6,8,5,9,13,6,6,9,6,4,8,5,8,5,6,8,1,3,2,3,6,5,4,5,3,5,3,1,2,1,0,1,2,0,0,1,0
369,東中田２丁目,4,6,10,12,15,7,11,13,7,14,6,7,9,16,10,10,6,11,9,16,7,11,15,14,9,10,20,11,19,16,16,13,16,14,10,13,11,14,10,20,22,12,14,14,17,21,18,14,16,24,20,16,15,14,20,19,17,18,18,14,17,14,9,18,15,16,20,18,25,26,28,17,30,11,11,12,19,15,14,16,8,8,11,2,6,8,4,5,2,7,3,2,1,2,3,0,1,0,0,1,0
370,東中田３丁目,12,6,8,3,10,6,5,11,8,7,5,7,10,9,8,3,3,8,2,2,5,8,7,3,7,5,4,6,6,10,13,8,10,6,8,8,8,11,8,8,17,6,9,12,11,9,8,6,10,7,3,6,6,4,4,4,4,4,11,4,4,9,5,7,4,7,4,5,6,7,7,10,5,5,6,7,6,2,5,7,4,10,5,5,2,4,2,2,2,4,2,2,0,0,3,0,0,0,0,0,1
371,東中田４丁目,1,3,4,5,3,7,5,5,5,3,8,5,5,7,5,5,4,11,6,5,11,7,5,3,7,6,4,7,3,3,7,4,5,5,7,6,8,7,7,14,12,7,8,10,13,8,6,10,13,11,11,3,14,5,11,7,8,7,9,4,12,6,6,3,7,4,5,7,7,3,5,6,7,10,3,6,4,8,8,12,3,6,5,6,3,0,2,3,6,1,1,2,0,2,0,0,0,0,0,1,0
372,東中田５丁目,2,10,7,2,4,3,9,2,1,5,5,1,5,6,4,1,2,3,4,3,1,1,4,5,5,5,3,2,4,7,5,2,3,2,6,6,8,7,4,7,5,3,7,4,8,9,4,5,6,3,4,0,8,4,1,2,6,2,6,1,4,4,2,2,0,3,6,6,3,2,2,9,7,3,3,2,4,3,9,2,2,3,0,1,2,2,5,1,2,0,3,0,0,1,1,1,0,0,1,1,0
373,東中田６丁目,1,4,5,4,6,4,7,1,6,6,2,7,5,5,3,4,2,4,4,6,6,4,7,5,4,4,2,8,5,3,2,6,0,6,4,8,7,2,6,9,8,10,4,8,14,2,11,5,9,13,5,5,7,3,4,5,4,4,5,3,3,5,5,4,4,6,7,9,4,8,5,7,8,11,5,3,7,3,7,8,9,4,6,4,4,5,2,4,1,4,1,3,3,2,0,0,0,0,0,0,0
374,人来田１丁目,0,0,3,3,2,3,7,0,2,3,1,2,1,2,2,0,1,2,0,4,4,4,2,1,2,1,2,0,5,2,1,3,3,4,2,5,8,5,4,3,0,3,8,7,3,3,6,3,8,3,5,4,4,3,3,5,5,2,4,4,3,5,7,4,13,11,12,10,16,17,21,14,13,11,4,13,16,11,10,12,7,3,3,6,3,5,4,3,2,1,0,1,2,0,1,1,1,1,0,0,1
375,人来田２丁目,2,2,2,2,6,4,4,2,5,3,1,3,6,3,1,3,5,3,4,2,3,3,1,2,3,3,2,8,3,4,3,2,2,4,3,4,6,5,0,7,5,4,9,7,7,11,9,4,7,9,3,5,6,5,9,4,7,4,5,4,5,9,5,10,11,8,14,16,14,17,15,23,30,16,9,11,8,8,11,7,4,5,7,3,1,4,3,5,2,1,1,8,2,2,2,1,0,0,1,0,2
376,人来田３丁目,1,1,0,3,1,4,1,3,2,1,2,4,5,2,2,2,2,1,0,2,4,2,1,2,5,1,0,0,1,2,4,5,5,4,2,0,4,3,3,4,1,2,4,8,6,0,3,5,6,5,3,4,3,5,2,2,4,2,5,7,1,6,4,5,1,5,3,2,6,5,5,7,4,3,1,2,3,4,2,3,3,7,2,4,5,3,2,0,1,0,1,2,1,0,0,1,0,0,1,0,0
377,ひより台,5,6,4,5,7,12,6,8,4,6,6,4,8,7,6,6,5,5,5,6,7,7,6,9,5,7,4,5,8,4,1,9,9,6,10,5,6,12,15,11,8,10,5,10,8,15,19,12,11,13,14,13,14,13,7,3,11,10,10,7,8,14,5,17,11,17,12,23,14,18,21,27,28,17,17,18,29,22,16,22,22,14,15,17,11,13,8,11,10,11,6,6,7,7,3,5,2,4,3,1,0
383,袋原,14,7,14,13,23,16,18,12,16,11,19,18,17,22,13,21,16,12,21,7,8,6,12,11,15,13,20,15,19,23,10,17,19,12,14,17,18,20,12,18,25,24,27,26,19,21,18,19,30,22,21,23,25,13,17,11,14,14,20,14,16,12,14,13,24,15,9,12,21,20,24,15,23,16,23,23,14,19,21,23,15,26,17,15,18,13,8,10,8,8,5,11,1,2,1,4,0,0,0,2,0
